"BILLION CUBIC FEET PER DAY",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"ID",NA,NA,NA,NA,NA,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.5,1.1,1.5,1.8,1.8,1.8,2.1,2.8,3.1,3.3,3.5,3.8,4.0,4.4,5.0,5.2,5.4,6.0,6.1,6.5,6.5,6.2,6.9,6.6,6.4,6.8,7.0,7.1,7.1,7.2
"MY",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.4,1.5,1.6,1.7,1.7,2.0,2.2,2.4,2.5,2.8,3.2,3.7,3.7,4.0,4.4,4.5,4.7,5.0,5.2,5.8,5.8
"MM",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.3,0.7,0.8,0.9,1.0,1.3,1.3
"NZ",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.5,0.4,0.4,0.4,0.4
"PK",NA,NA,NA,NA,NA,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.5,1.7,1.8,1.9,2.0,2.2,2.6,2.8,3.0
"TH",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.5,0.7,0.7,0.8,0.9,1.0,1.2,1.5,1.6,1.7,1.8,1.7,1.8,1.9,2.2,2.3,2.4
"VN",NA,NA,NA,NA,NA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.7,0.7
"BP_10",NA,NA,NA,NA,NA,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.7,0.6,0.7,0.7
"BP_11",NA,NA,NA,NA,NA,1.5,1.8,2.1,2.6,3.1,3.4,3.9,4.7,5.5,6.2,6.7,6.8,7.0,7.6,9.3,10.3,11.2,12.0,12.8,13.5,14.5,15.9,16.9,17.9,19.4,20.6,22.1,23.4,23.5,25.2,26.2,27.3,28.7,30.3,32.2,35.1,36.5
"BP_12",NA,NA,NA,NA,NA,97.6,103.9,108.6,114.2,116.2,116.4,120.9,125.9,130.4,139.1,139.8,142.8,143.0,143.5,155.8,161.3,165.8,174.0,181.6,188.0,192.7,195.8,196.5,200.6,202.6,206.5,215.0,215.9,220.6,226.8,234.0,240.2,244.3,252.9,260.8,269.0,277.2
"BP_13",NA,NA,NA,NA,NA,7.6,9.6,11.9,13.6,15.3,15.8,16.7,16.8,16.3,16.6,15.8,15.8,14.7,15.0,15.2,15.9,15.2,15.6,14.5,15.0,15.3,16.6,16.7,18.0,18.2,18.9,21.1,20.4,20.3,20.6,21.1,21.3,20.8,20.5,20.8,19.3,18.4
"BP_14",NA,NA,NA,NA,NA,9.9,12.0,14.4,16.3,18.0,18.7,19.9,20.2,19.7,19.8,19.2,19.3,18.3,18.5,18.7,19.2,18.6,18.9,17.7,17.8,18.0,19.0,18.8,20.0,20.0,20.7,22.8,21.9,21.7,22.0,22.4,22.6,22.1,21.8,22.0,20.5,19.6
"BP_15",NA,NA,NA,NA,NA,72.3,76.5,79.6,82.5,81.3,78.0,78.6,79.9,80.4,83.8,82.6,82.1,77.7,72.9,77.5,76.1,73.9,76.8,78.2,80.3,82.3,84.0,85.8,88.9,92.7,94.0,98.3,99.1,100.2,101.4,103.3,105.7,104.6,105.1,104.6,103.1,104.3
"BP_19",NA,NA,NA,NA,NA,17.9,19.2,19.9,21.3,23.5,26.1,28.9,31.2,33.6,36.7,39.2,42.0,45.2,48.3,52.9,58.0,61.9,65.6,69.3,71.9,73.6,73.2,70.3,68.7,64.9,63.8,64.6,60.7,62.4,63.5,65.1,65.5,66.9,70.0,72.0,73.5,75.4
"BP_22",NA,NA,NA,NA,NA,7.4,8.2,9.0,10.3,11.4,12.3,13.4,14.8,16.4,18.6,18.0,18.7,20.1,22.2,25.5,27.1,29.9,31.5,34.1,35.9,36.8,38.7,40.5,42.9,44.9,48.7,52.1,56.1,58.0,61.8,65.7,68.9,72.7,77.9,84.3,92.3,97.5
