title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 23)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_ft3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic feet per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8.4,8.9,9.1,9.6,9.7,12.0,11.4,9.7,8.7,7.6,7.2,7.7,7.0,6.5,6.9,6.8,6.7,6.5,6.7,6.6,6.7,6.5,6.1,5.8,4.5
"GB",0.1,0.1,0.1,0.3,0.6,1.1,1.8,2.5,2.7,3.2,3.4,3.6,3.8,4.0,4.3,4.3,4.4,4.4,4.6,4.6,5.0,5.1,5.2,5.0,4.9,5.1,5.5,5.4,6.2,6.4,6.8,7.9,8.2,8.5,9.1,9.3,9.3,9.2,9.2,9.4,9.2,8.7,8.8,9.0,8.4
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",3.1,3.0,3.1,3.1,3.2,3.5,3.5,3.5,3.8,3.9,4.0,4.1,4.3,4.4,4.6,4.4,4.8,4.9,4.4,4.2,4.1,4.1,4.4,4.7,4.7
"BP_OEE",11.3,12.6,13.9,14.9,16.0,17.6,19.3,20.2,22.1,23.4,25.5,28.0,30.1,32.1,34.1,35.1,37.2,40.2,43.2,47.0,2.0,2.1,2.3,2.5,2.7,2.6,2.3,2.0,1.5,1.3,1.3,1.3,1.4,1.4,1.2,1.3,1.4,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.4
"BP_TEE",15.1,16.9,19.0,21.4,24.5,28.1,32.2,35.5,39.6,43.2,46.5,50.9,54.1,57.1,60.4,61.5,63.6,66.0,69.5,74.5,79.9,82.0,86.1,88.5,91.2,94.3,95.4,91.5,91.5,87.6,88.4,92.7,89.2,91.5,93.6,95.0,98.2,98.5,102.6,105.1,107.8,108.5,109.9,109.9,102.4
"IR",0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1.0,1.3,1.2,1.2,1.1,1.0,1.3,0.7,0.6,0.7,1.1,1.3,1.4,1.5,1.5,1.9,2.1,2.2,2.2,2.4,2.6,3.1,3.4,3.8,4.6,5.0,5.6,6.1,6.8,7.7,8.0,8.4,10.2,10.5,10.9,11.5,12.7
"KW",0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.4,0.5,0.4,0.4,0.4,0.4,0.6,0.5,0.7,0.8,0.4,0.0,0.3,0.5,0.6,0.9,0.9,0.9,0.9,0.8,0.9,1.0,0.9,1.1,1.1,1.2,1.2,1.2,1.2,1.3
"QA",0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.4,0.5,0.4,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.7,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.3,0.9,1.1,1.1,1.2,1.5,1.8,1.9,1.9,1.9,2.0
"SA",0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.2,1.1,1.8,1.8,2.4,2.6,2.8,2.9,3.2,3.4,3.7,3.9,4.1,4.2,4.3,4.4,4.5,4.5,4.8,5.2,5.5,5.8,6.3,6.9,7.1,7.2,7.8,7.5
"AE",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.8,1.0,1.2,1.4,1.4,1.7,1.6,2.0,1.8,1.9,2.2,2.4,2.6,2.8,2.9,3.0,3.0,3.7,3.5,3.7,3.9,4.1,4.2,4.8,5.7,5.7
"BP_OME",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,1.1,1.2,1.2,1.1,1.3,1.4,1.5,1.6,1.7,1.9,2.1,2.2,2.3,2.3,2.4,2.4,2.7,2.9,3.3,3.4,3.8,4.1
"BP_TME",1.0,1.1,1.2,1.3,1.4,1.6,1.7,1.7,2.0,2.3,2.5,2.6,2.7,2.9,3.9,3.4,3.5,3.8,4.1,5.4,5.9,7.0,7.4,8.4,9.3,9.3,9.5,10.7,11.6,12.8,13.8,14.6,16.0,16.9,17.5,18.0,20.0,21.1,22.2,23.8,27.0,28.2,29.3,32.0,33.4
"DZ",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1.1,1.4,1.6,1.8,1.6,1.5,1.7,1.7,1.9,1.8,2.0,1.9,2.0,1.8,1.9,2.0,2.1,2.0,2.0,2.1,1.9,2.0,2.0,2.1,2.1,2.2,2.3,2.4,2.4,2.6
"EG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.2,1.3,1.3,1.3,1.6,1.9,2.4,2.6,2.9,3.1,3.1,3.5,3.7,3.9,4.1
"ZA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OAF",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.6,0.6,0.6,0.6,0.6,0.6,0.8,0.9,0.9,1.0,1.1,1.1,1.0,1.1,1.1,1.2,1.2,1.4,1.4,1.4,1.5,1.7,1.7,1.7,2.0,2.3,2.4,2.3,2.7,2.9,2.4
"BP_TAF",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.5,0.6,0.7,1.0,1.5,1.9,2.3,2.5,2.7,2.6,2.8,3.1,3.2,3.6,3.7,3.8,3.8,4.0,4.0,4.2,4.5,4.7,4.6,4.8,5.2,5.5,6.1,6.3,6.9,7.5,7.7,8.1,8.8,9.3,9.1
"AU",0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.1,1.2,1.1,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.1,2.2,2.2,2.2,2.1,2.3,2.5,2.5,2.5
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9
"CN",0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.9,1.0,1.2,1.3,1.4,1.4,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.5,1.5,1.5,1.6,1.7,1.7,1.8,1.9,2.0,2.1,2.4,2.7,2.8,3.3,3.8,4.5,5.4,6.7,7.8,8.6
"HK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.2
"IN",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.6,0.7,0.8,1.0,1.2,1.3,1.4,1.5,1.6,1.8,2.0,2.2,2.4,2.4,2.5,2.6,2.7,2.9,3.1,3.5,3.6,3.9,4.0,5.0
"ID",0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.6,0.7,0.7,0.7,0.6,0.9,1.0,1.2,1.3,1.3,1.4,1.6,1.6,1.9,2.0,2.2,2.6,2.7,2.8,3.0,2.9,3.1,2.9,3.0,3.2,3.4,3.1,3.2,3.2,3.0,3.2,3.5
"JP",0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.7,0.8,1.0,1.2,1.7,2.0,2.3,2.3,2.4,2.6,3.4,3.7,3.8,3.9,4.1,4.3,4.7,4.9,5.1,5.1,5.5,5.6,6.0,6.2,6.4,6.7,7.0,7.2,7.0,7.7,7.4,7.6,8.1,8.7,9.0,8.5
"MY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,0.7,0.8,0.9,1.0,1.1,1.1,1.2,1.3,1.3,1.7,1.6,1.7,1.6,2.3,2.4,2.5,2.6,2.3,2.9,3.2,3.2,3.2,3.0
"NZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4
