title         = ASCII CSV version of Electricity Generation data from the 2010 British Petroleum Statistical Review (worksheet 40)
file URL      = http://mazamascience.com/OilExport/BP_2010_electricity_generation.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"PK","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",46.0,50.2,53.6,57.0,57.9,63.8,67.6,62.5,66.4,65.3,64.7,75.1,81.6,84.5,88.7,87.1,96.2,98.8,92.5,93.1
"PH","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",26.3,25.6,25.9,26.6,30.5,33.6,36.7,39.8,41.6,41.4,45.3,47.0,48.5,52.9,56.0,56.6,56.8,59.6,60.8,61.4
"SG","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",15.6,16.6,17.5,19.0,20.7,22.1,23.5,26.2,28.3,29.5,31.7,33.1,34.7,35.3,36.8,38.2,39.4,41.1,41.7,41.8
"KR","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",118.5,131.6,146.4,161.9,183.4,203.5,225.8,246.6,237.2,262.2,290.4,309.9,332.0,347.8,368.0,389.5,403.6,426.6,446.7,455.9
"TW","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",90.2,99.2,105.5,115.2,124.6,133.1,142.0,150.2,162.9,169.5,184.9,188.5,198.8,209.1,218.4,227.4,235.2,242.7,237.7,229.7
"TH","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",44.1,50.1,57.0,63.3,71.1,79.7,87.0,92.7,89.5,90.2,95.5,101.0,108.4,115.9,124.1,130.4,136.8,142.5,145.4,145.9
"BP_OAP","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",57.4,57.2,56.2,55.7,59.4,63.0,64.2,65.7,68.0,73.8,80.6,86.0,92.8,100.7,110.8,118.5,127.0,135.6,143.9,155.2
"BP_TAP","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2428.6,2586.8,2733.1,2873.7,3132.3,3340.9,3527.0,3665.2,3786.3,3927.6,4219.3,4420.4,4705.7,5084.8,5520.9,5967.2,6453.3,7012.0,7292.7,7512.1
"BP_WORLD","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",11847.5,12097.0,12211.1,12474.6,12805.9,13246.4,13673.2,13959.6,14340.2,14715.9,15379.8,15626.5,16183.1,16792.6,17553.6,18311.6,19025.5,19907.8,20336.3,20093.6
"BP_EU1","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2569.8,2629.1,2614.5,2619.3,2658.0,2734.0,2829.4,2836.1,2898.9,2933.6,3013.7,3106.9,3132.3,3225.1,3284.5,3304.2,3353.3,3365.1,3362.3,3181.7
"BP_OECD","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",7581.9,7747.9,7820.4,8004.9,8220.9,8471.4,8712.2,8864.9,9082.1,9299.8,9614.8,9612.7,9836.3,9967.8,10199.6,10457.1,10541.6,10758.2,10803.9,10347.2
"BP_FSU","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",1725.6,1681.4,1560.0,1460.5,1326.8,1289.3,1256.4,1230.2,1217.6,1233.2,1267.4,1289.6,1300.7,1340.7,1375.9,1398.1,1448.4,1486.8,1508.2,1433.6
"BP_EMES","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",2540.0,2667.7,2830.6,3009.3,3258.2,3485.7,3704.7,3864.4,4040.5,4182.9,4497.6,4724.2,5046.0,5484.1,5978.1,6456.4,7035.4,7662.8,8024.1,8312.7
