title         = ASCII CSV version of Oil Production data from the 2008 British Petroleum Statistical Review (worksheet 5)
file URL      = http://mazamascience.com/OilExport/BP_2008_oil_production_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"ID",24.5,23.9,25.7,30.3,32.4,43.1,45.0,54.7,67.5,69.4,65.9,76.1,84.9,82.1,79.5,79.0,80.0,66.6,70.7,74.9,66.3,70.4,69.8,67.3,71.6,74.4,81.0,76.7,76.9,76.9,76.5,76.7,75.7,74.2,68.6,71.5,68.0,63.0,57.7,55.2,53.0,49.9,47.4
"MY",0.0,0.0,0.0,0.2,0.4,0.9,3.3,4.5,4.3,3.9,4.7,8.0,8.7,10.3,13.5,13.2,12.4,14.5,18.4,21.7,21.6,24.2,23.9,26.1,28.3,29.9,31.2,31.7,31.1,31.7,35.6,35.6,35.5,35.7,33.9,33.7,32.9,34.5,35.6,36.5,33.9,33.8,34.2
"TH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.6,1.1,2.0,2.0,1.9,2.2,2.1,2.5,3.0,3.6,3.7,3.7,3.6,4.1,4.8,5.0,5.4,7.0,7.5,8.2,9.6,9.1,10.8,11.8,12.7
"VN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,1.5,2.7,4.0,5.5,6.3,7.1,7.7,8.8,10.1,12.1,14.6,16.2,17.1,17.3,17.7,20.8,19.4,17.8,16.5
"BP_OAP",1.7,1.7,1.5,1.7,1.8,1.9,2.0,2.1,2.3,2.3,2.3,3.0,3.5,3.4,4.4,3.7,3.7,4.0,4.3,4.8,5.8,5.9,5.6,5.8,6.2,6.7,6.9,9.6,12.9,12.1,10.8,11.5,10.6,10.1,10.2,9.4,9.1,9.0,9.1,8.7,9.2,9.5,10.7
"BP_TAP",44.9,50.0,53.0,62.0,71.3,98.3,117.7,138.8,165.6,176.6,187.8,214.4,234.1,244.8,251.1,243.6,240.8,235.9,253.3,278.9,288.1,299.1,301.8,305.3,314.5,325.6,335.3,335.0,337.4,346.5,354.7,366.6,370.8,368.9,364.9,381.2,377.1,377.5,373.3,377.2,377.7,377.6,378.7
"BP_WORLD",1566.8,1701.2,1825.4,1991.6,2141.9,2355.9,2493.4,2637.4,2867.5,2875.8,2734.8,2969.4,3073.6,3103.4,3233.5,3088.3,2910.2,2795.7,2759.0,2814.3,2791.8,2935.8,2946.8,3068.9,3102.7,3170.4,3160.5,3190.1,3188.9,3237.4,3281.3,3377.1,3479.9,3547.3,3481.1,3614.1,3600.3,3575.3,3701.1,3866.7,3897.0,3914.3,3905.9
"BP_EU2",34.6,34.5,34.8,34.8,34.4,34.1,33.2,32.8,32.9,33.4,34.5,44.8,70.2,85.1,107.8,109.8,118.9,135.1,149.7,161.1,163.8,164.1,161.3,153.0,129.4,127.6,126.5,129.2,134.8,163.2,165.8,165.5,164.1,168.5,174.8,166.3,155.6,158.2,148.2,137.7,125.7,114.6,113.5
"BP_OECD",513.6,545.2,582.3,608.0,623.2,660.0,662.7,678.8,683.9,661.4,644.3,645.9,687.9,740.1,784.1,817.1,836.5,877.7,900.4,942.2,955.1,931.9,934.1,928.0,889.3,892.0,917.4,926.8,926.5,966.3,974.4,1006.5,1019.4,1011.5,988.9,1011.1,999.5,1005.3,995.6,977.9,931.8,912.0,899.2
"BP_OPEC",722.4,792.8,844.2,941.6,1038.8,1173.7,1273.2,1365.9,1544.0,1534.1,1355.6,1535.6,1558.4,1488.6,1548.7,1354.3,1147.0,973.6,885.6,868.0,822.0,954.4,949.3,1056.7,1131.5,1216.1,1226.9,1299.0,1329.2,1355.1,1369.8,1416.0,1484.3,1544.9,1482.1,1560.1,1520.4,1438.0,1523.3,1644.3,1691.7,1701.5,1681.3
"BP_OPEC10",657.1,723.6,783.1,866.6,961.4,1092.3,1184.1,1286.4,1436.4,1428.3,1236.1,1408.5,1435.4,1355.6,1369.9,1215.8,1095.3,918.7,822.4,797.4,740.7,847.3,814.5,897.7,969.9,1087.5,1188.4,1245.7,1282.1,1302.9,1312.6,1352.1,1390.7,1404.7,1317.1,1394.4,1360.0,1289.4,1414.8,1496.0,1540.5,1533.7,1491.9
"BP_NONOPEC",601.5,643.3,693.1,740.8,774.8,829.2,843.1,871.1,894.5,882.8,888.5,914.1,969.3,1043.2,1099.2,1130.8,1154.3,1209.5,1257.1,1333.6,1373.1,1366.0,1372.4,1388.5,1364.0,1383.7,1417.7,1439.9,1456.6,1518.6,1553.1,1607.8,1633.7,1639.9,1629.1,1660.6,1655.3,1671.1,1664.1,1663.9,1628.2,1612.0,1600.2
"BP_FSU",242.9,265.1,288.1,309.2,328.3,353.0,377.0,400.4,429.0,458.9,490.8,519.7,545.8,571.5,585.6,603.2,608.8,612.6,616.3,612.7,596.7,615.4,625.2,623.7,607.2,570.5,515.9,451.3,403.1,363.7,358.4,353.3,361.9,362.5,370.0,393.4,424.6,466.2,513.6,558.5,577.1,600.8,624.5
