title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 24)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"BP_TME",9.1,9.8,10.7,11.9,13.2,14.6,15.5,16.1,18.7,21.8,23.0,23.9,25.1,27.2,36.1,31.8,32.3,35.5,38.5,50.4,54.5,65.3,68.9,78.7,85.7,86.0,88.2,99.5,107.1,117.6,127.6,135.7,148.4,156.4,162.1,166.9,178.6,193.6,203.4,227.5,249.1,262.2,269.4
"DZ",0.7,0.7,0.7,0.7,1.0,0.9,1.0,1.2,1.7,1.9,2.7,3.1,3.4,5.4,7.6,10.2,13.3,15.1,16.5,14.5,14.4,15.8,16.1,18.2,17.1,18.2,18.0,18.6,16.7,17.6,18.9,19.4,18.1,18.8,19.2,17.9,18.5,18.2,19.3,19.8,20.9,21.4,22.0
"EG",0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.3,0.6,0.8,1.6,1.8,2.0,2.3,3.0,3.7,4.3,4.8,5.3,5.9,6.1,6.9,7.5,8.7,9.4,9.9,10.2,10.4,10.8,12.9,16.5,19.3,20.4,22.1,23.6,23.2,26.2,28.8
"ZA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OAF",0.1,0.2,0.2,0.2,0.1,0.5,0.6,1.0,1.5,1.6,1.8,1.8,2.2,2.4,3.2,4.8,4.8,5.0,5.9,6.8,7.2,8.0,7.9,8.5,10.2,9.9,9.5,10.1,10.5,10.7,11.5,12.9,12.9,13.4,14.0,15.6,15.8,16.1,18.3,20.3,21.8,22.5,24.4
"BP_TAF",0.9,1.0,1.0,1.0,1.2,1.5,1.7,2.2,3.3,3.6,4.5,5.1,5.9,8.4,11.6,16.6,19.9,22.1,24.7,24.3,25.3,28.0,28.8,32.0,33.2,34.3,34.4,36.3,35.9,37.7,40.3,42.5,41.5,42.9,46.1,49.9,53.5,54.7,59.7,63.7,65.9,70.1,75.2
"AU",0.0,0.0,0.0,0.0,0.4,1.6,2.3,3.4,4.3,4.9,5.2,6.2,7.0,7.6,8.7,10.0,10.9,10.6,11.5,11.3,12.1,13.2,13.5,13.8,15.1,15.2,14.6,15.1,15.7,17.4,17.6,17.7,17.4,17.8,18.2,18.5,19.8,20.2,20.2,20.5,19.7,21.6,22.6
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.6,0.6,0.8,0.8,0.9,1.1,1.2,1.5,1.7,2.0,2.3,2.6,2.9,3.4,3.8,4.2,4.3,4.8,5.2,5.5,6.0,6.6,6.8,6.8,7.0,7.5,9.0,9.7,10.3,11.1,11.9,13.1,13.8,14.6
"CN",1.0,1.2,1.3,1.3,1.8,2.6,3.4,4.4,5.4,6.8,8.0,9.1,10.9,12.4,13.1,12.8,11.5,10.7,11.0,11.2,11.6,12.4,12.5,12.9,13.5,13.7,14.3,14.3,15.1,15.6,16.0,16.6,17.6,18.2,19.3,22.1,24.7,26.3,30.5,35.7,42.1,50.5,60.6
"HK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.9,2.7,3.0,2.7,2.7,2.6,1.7,2.4,2.4,2.6,2.7
"IN",0.2,0.2,0.3,0.3,0.4,0.6,0.6,0.7,0.7,0.8,1.0,1.2,1.3,1.4,1.8,1.1,1.8,2.4,2.9,3.3,4.0,5.6,6.5,7.6,9.1,10.8,12.1,13.5,13.7,14.8,16.9,18.5,20.1,22.0,22.6,23.7,23.8,24.8,26.6,28.7,32.1,33.6,36.2
"ID",0.5,0.5,0.6,0.6,1.1,1.1,1.1,1.1,0.7,1.0,2.1,2.1,4.5,5.2,6.7,6.3,6.3,6.0,8.1,9.4,11.1,12.0,12.4,13.2,14.8,15.2,17.5,19.1,20.3,24.0,25.3,26.4,27.5,26.5,28.8,27.2,29.0,30.5,31.2,32.1,29.5,31.5,30.4
"JP",1.6,1.6,1.7,1.8,2.0,3.1,3.3,3.3,4.6,6.3,7.5,9.0,11.0,15.4,18.3,21.7,21.7,22.2,23.9,32.2,34.4,35.1,35.9,38.1,39.6,43.3,45.7,47.6,47.9,51.2,52.1,55.6,57.7,59.5,62.5,65.1,66.8,65.4,71.8,69.3,70.7,75.4,81.2
