title         = ASCII CSV version of Natural Gas consumption data from the 2010 British Petroleum Statistical Review (worksheet 24)
file URL      = http://mazamascience.com/OilExport/BP_2010_gas_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"SA",0.6,0.7,0.8,1.0,1.2,1.5,1.2,1.4,1.6,2.0,2.4,2.6,3.7,5.1,6.3,8.8,10.2,10.8,10.6,16.4,16.9,22.7,24.1,26.2,26.8,30.2,31.7,34.4,36.0,38.5,38.6,40.0,40.8,42.1,41.6,44.8,48.3,51.0,54.1,59.1,64.1,66.2,67.0,72.4,69.7
"AE",0.0,0.0,0.4,0.5,0.5,0.8,1.2,1.2,1.6,1.6,1.5,1.7,3.0,3.6,3.9,4.4,5.6,5.9,5.4,7.4,9.1,11.1,12.6,12.8,15.5,15.2,18.3,16.9,17.7,20.4,22.3,24.4,26.1,27.4,28.3,28.3,34.1,32.8,34.1,36.2,37.8,39.0,44.3,53.5,53.2
"BP_OME",0.7,0.9,0.8,0.9,1.2,1.3,1.6,1.7,2.3,2.6,3.1,3.7,3.3,3.8,4.7,4.0,3.4,4.6,4.8,5.3,6.6,7.7,7.8,9.9,11.1,10.9,10.7,12.3,12.8,13.8,15.0,15.7,17.9,19.4,20.2,21.0,21.3,22.2,22.5,25.0,27.1,30.4,31.2,35.7,38.6
"BP_TME",9.1,9.8,10.7,11.9,13.2,14.6,15.5,16.0,18.7,21.7,22.9,23.9,25.1,27.2,36.1,31.8,32.3,35.5,38.5,50.4,54.5,65.4,68.5,78.6,86.1,86.1,88.4,99.8,107.5,118.9,128.1,135.8,148.6,157.3,163.0,168.1,186.1,195.8,206.1,222.4,251.3,262.3,272.8,298.7,311.0
"DZ",0.7,0.7,0.7,0.7,1.0,0.9,1.0,1.2,1.7,1.9,2.7,3.1,3.4,5.4,7.6,10.2,13.3,15.1,16.5,14.5,14.4,15.8,16.1,18.2,17.1,18.2,18.0,18.6,16.7,17.6,18.9,19.4,18.1,18.8,19.2,17.9,18.5,18.2,19.3,19.8,20.9,21.4,21.9,22.8,24.0
"EG",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.3,0.4,0.7,1.0,2.0,2.2,2.4,2.8,3.6,4.4,5.1,5.7,6.2,7.0,7.3,8.2,8.8,10.2,10.8,11.3,11.7,12.1,12.3,14.8,18.0,22.1,23.9,26.7,28.5,28.4,32.9,34.5,36.8,38.3
"ZA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OAF",0.2,0.2,0.2,0.2,0.2,0.5,0.5,1.0,1.6,1.6,2.1,2.2,2.5,3.0,5.2,5.2,5.8,5.4,5.9,6.1,7.1,8.2,8.2,8.9,10.5,10.0,9.5,10.2,10.5,10.8,11.5,12.9,13.0,13.5,14.1,15.7,15.9,16.2,18.4,21.3,22.1,21.5,25.4,26.9,22.3
"BP_TAF",0.9,1.0,1.0,1.0,1.2,1.5,1.7,2.2,3.3,3.6,4.8,5.6,6.3,9.0,13.8,17.4,21.3,22.9,25.2,24.2,25.9,29.1,30.0,33.2,34.5,35.5,35.7,37.6,37.4,39.2,41.8,44.1,43.2,44.6,48.0,51.5,56.4,58.2,64.4,69.6,71.4,75.7,81.8,86.5,84.6
"AU",0.0,0.0,0.0,0.0,0.4,1.6,2.3,3.4,4.3,4.9,5.2,6.2,7.0,7.6,8.7,10.0,10.9,10.6,11.5,11.3,12.1,13.2,13.5,13.8,15.1,15.2,14.6,15.1,15.7,17.4,17.6,17.7,17.4,17.8,18.2,18.5,19.8,20.2,20.2,20.5,19.7,21.6,23.1,23.0,23.1
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.6,0.6,0.8,0.8,0.9,1.1,1.2,1.5,1.7,2.0,2.3,2.6,2.9,3.4,3.8,4.2,4.3,4.8,5.2,5.5,6.0,6.6,6.8,6.8,7.0,7.5,9.0,9.7,10.3,11.1,11.9,13.1,13.8,14.6,16.1,17.8
"CN",1.0,1.2,1.3,1.3,1.8,2.6,3.4,4.4,5.4,6.8,8.0,9.1,10.9,12.4,13.1,12.8,11.5,10.7,11.0,11.2,11.6,12.4,12.5,12.9,13.5,13.7,14.3,14.3,15.1,15.6,16.0,16.6,17.6,18.2,19.3,22.1,24.7,26.3,30.5,35.7,42.1,50.5,62.6,73.2,79.8
"HK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,2.9,2.7,3.0,2.7,2.7,2.6,1.7,2.4,2.4,2.6,2.0,2.3,2.3
"IN",0.2,0.2,0.3,0.3,0.4,0.6,0.6,0.7,0.7,0.8,1.0,1.2,1.3,1.4,1.8,1.1,1.8,2.4,2.9,3.3,4.0,5.6,6.5,7.6,9.1,10.8,12.1,13.5,13.7,14.8,16.9,18.5,20.1,22.0,22.6,23.7,23.8,24.8,26.6,28.7,32.1,33.5,36.1,37.2,46.7
"ID",0.5,0.5,0.6,0.6,1.1,1.1,1.1,1.1,0.7,1.0,2.1,2.1,4.5,5.2,6.7,6.3,6.3,6.0,8.1,9.4,11.1,12.0,12.4,13.2,14.8,15.2,17.5,19.1,20.3,24.0,25.3,26.4,27.5,26.5,28.8,26.8,27.9,29.6,31.5,29.0,29.9,29.9,28.2,30.0,33.0
"JP",1.6,1.6,1.7,1.8,2.0,3.1,3.3,3.3,4.6,6.3,7.5,9.0,11.0,15.4,18.3,21.7,21.7,22.2,23.9,32.2,34.4,35.1,35.9,38.1,39.6,43.3,45.7,47.6,47.9,51.2,52.1,55.6,57.7,59.5,62.5,65.1,66.8,65.4,71.8,69.3,70.7,75.4,81.2,84.4,78.7
