title         = ASCII CSV version of Natural Gas consumption data from the 2008 British Petroleum Statistical Review (worksheet 22)
file URL      = http://mazamascience.com/OilExport/BP_2008_gas_consumption_m3.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = billion cubic meters per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"SK",0.3,0.4,0.4,0.5,0.7,0.8,1.0,1.1,1.1,1.4,1.5,1.8,2.2,2.5,2.9,3.6,3.5,3.6,3.7,4.1,4.7,4.7,4.8,4.9,5.1,5.9,5.4,5.5,5.2,5.0,5.7,6.2,6.3,6.4,6.4,6.5,6.9,6.5,6.3,6.1,6.6,6.4,5.9
"ES",0.0,0.0,0.0,0.0,0.1,0.1,0.4,1.2,1.1,1.4,1.4,1.7,1.6,1.6,1.6,2.0,2.3,2.5,2.7,2.2,2.4,2.8,3.0,3.9,5.0,5.6,6.1,6.5,6.5,7.2,8.3,9.3,12.3,13.1,15.0,16.9,18.2,20.8,23.6,27.4,32.4,33.7,35.1
"SE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.5,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.8,0.9,0.8,0.7,0.7,0.8,0.8,0.8,0.8,1.0,1.0
"CH",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.4,0.6,0.6,0.7,0.8,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.4,1.5,1.6,1.7,1.8,2.0,2.1,2.2,2.2,2.4,2.6,2.5,2.6,2.7,2.7,2.8,2.8,2.9,3.0,3.1,3.0,2.9
"TR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,1.2,3.2,3.4,4.1,4.5,5.0,5.3,6.8,7.9,9.7,10.3,12.4,14.6,16.0,17.4,20.9,22.1,26.9,30.5,35.1
"TM","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",8.6,14.0,13.9,14.1,14.6,9.8,9.6,9.3,9.3,10.2,8.0,10.0,10.1,10.3,11.3,12.6,12.9,13.2,14.6,15.5,16.6,18.9,21.9
"UA","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",89.8,94.8,96.8,102.6,103.7,127.8,121.5,103.5,92.9,81.3,76.2,82.5,74.3,68.7,73.0,73.1,70.9,69.8,67.8,73.2,73.0,67.1,64.6
"GB",0.8,0.8,1.3,3.0,5.9,11.3,18.2,25.9,28.0,33.5,35.1,37.2,39.5,41.0,44.9,44.8,45.4,45.2,47.1,48.2,51.8,52.7,54.1,51.5,50.4,52.4,56.6,56.4,64.2,66.1,70.5,82.1,84.5,87.9,93.6,96.9,96.4,95.1,95.4,97.4,94.9,90.0,91.4
"UZ","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na",32.9,31.7,33.2,32.7,34.6,36.8,37.1,37.3,40.7,41.3,42.4,43.3,45.4,47.0,49.3,47.1,51.1,52.4,47.2,44.8,44.0,43.2,45.6
"BP_OEE",120.2,134.1,147.7,159.5,170.6,187.6,205.2,216.0,235.0,249.2,271.8,299.1,320.4,341.8,363.1,374.7,396.6,428.7,459.7,501.7,21.5,21.9,23.9,27.0,28.8,27.5,24.2,21.7,16.1,13.9,13.8,13.5,14.7,14.6,12.9,13.5,14.7,13.8,14.2,15.4,16.1,16.4,16.8
"BP_TEE",159.9,179.4,201.8,228.5,260.8,300.8,343.7,378.0,419.7,455.8,490.6,536.7,569.2,599.7,635.4,648.5,670.1,697.7,731.7,787.0,841.2,864.4,907.4,935.6,961.1,994.1,1004.9,966.0,963.3,921.7,929.4,976.4,936.3,960.3,982.9,1013.5,1025.5,1045.6,1070.7,1104.3,1128.3,1151.5,1155.7
"IR",7.3,7.6,8.0,8.4,8.8,9.2,9.7,9.4,10.3,13.0,12.3,12.3,11.0,10.1,12.9,6.9,5.7,7.2,11.0,13.5,14.6,15.2,16.0,20.0,22.2,22.7,22.7,25.0,26.6,31.8,35.2,38.9,47.1,51.8,58.4,62.9,70.2,79.2,82.9,93.4,102.4,108.7,111.8
"KW",1.3,1.4,1.5,1.6,1.8,2.0,2.1,2.5,2.8,2.9,3.2,3.9,4.2,4.7,6.3,4.1,4.7,3.7,4.0,4.4,4.2,5.7,4.8,6.8,8.2,4.2,0.5,2.6,5.4,6.0,9.3,9.3,9.3,9.5,8.6,9.6,8.5,8.0,9.1,11.0,12.3,12.9,12.6
"QA",0.1,0.1,0.1,0.5,0.8,1.0,1.0,1.1,1.6,1.3,2.2,1.5,1.6,1.5,4.4,5.2,4.2,4.9,4.8,5.9,5.5,5.8,5.8,6.2,5.9,6.3,7.6,12.6,13.5,13.5,13.5,13.7,14.5,14.8,13.9,9.7,10.9,11.1,12.2,15.0,18.7,19.6,20.5
"SA",0.6,0.8,0.9,1.1,1.3,1.6,1.3,1.5,1.8,2.3,2.7,2.9,4.1,5.7,7.0,9.7,11.3,12.0,11.7,18.2,18.8,25.2,26.8,29.1,29.8,33.5,35.2,38.2,40.0,42.8,42.9,44.4,45.3,46.8,46.2,49.8,53.7,56.7,60.1,65.7,71.2,73.5,75.9
"AE",0.0,0.0,0.5,0.6,0.6,0.8,1.3,1.4,1.7,1.8,1.7,1.9,3.4,4.0,4.4,4.9,6.2,6.5,6.0,8.2,10.1,12.3,14.0,14.2,17.3,16.9,20.4,18.8,19.6,21.7,24.8,27.1,29.0,30.4,31.4,31.4,32.3,36.4,37.9,40.2,41.2,41.7,43.2
"BP_OME",0.8,1.0,0.9,1.0,1.4,1.5,1.8,2.0,2.6,2.9,3.4,4.1,3.6,4.2,5.3,4.5,3.8,5.1,5.3,5.8,7.3,8.3,9.2,11.1,11.9,11.9,11.6,13.3,13.9,14.9,16.1,17.3,19.6,20.5,21.5,22.1,22.8,23.6,23.9,27.4,30.9,35.0,35.3
"BP_TME",10.1,10.9,11.9,13.3,14.7,16.2,17.2,17.8,20.8,24.2,25.5,26.5,27.9,30.2,40.1,35.3,35.9,39.4,42.8,56.0,60.5,72.5,76.6,87.4,95.3,95.5,98.0,110.6,119.0,130.6,141.8,150.7,164.9,173.7,180.1,185.4,198.4,215.1,226.1,252.8,276.8,291.4,299.4
"DZ",0.8,0.8,0.8,0.8,1.1,1.0,1.1,1.3,1.9,2.1,3.0,3.5,3.7,6.0,8.5,11.4,14.8,16.8,18.4,16.1,16.0,17.5,17.9,20.2,19.0,20.3,20.0,20.7,18.6,19.6,21.0,21.6,20.2,20.9,21.3,19.8,20.5,20.2,21.4,22.0,23.2,23.7,24.4
"EG",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.4,0.6,0.9,1.8,2.0,2.3,2.5,3.4,4.1,4.7,5.3,5.9,6.5,6.8,7.7,8.4,9.7,10.4,11.0,11.3,11.6,12.0,14.3,18.3,21.5,22.7,24.6,26.2,25.8,29.2,32.0
"ZA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OAF",0.1,0.2,0.2,0.2,0.1,0.6,0.6,1.1,1.7,1.8,2.0,2.0,2.4,2.7,3.5,5.3,5.3,5.5,6.6,7.6,8.0,8.9,8.8,9.5,11.4,11.0,10.5,11.2,11.6,11.9,12.8,14.3,14.4,14.9,15.5,17.3,17.5,17.9,20.4,22.6,24.3,25.0,27.1
