"BILLION CUBIC FEET PER DAY",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
"SA",0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.7,0.9,1.1,1.2,1.1,1.8,1.8,2.4,2.6,2.8,2.9,3.2,3.4,3.7,3.9,4.1,4.2,4.3,4.4,4.5,4.5,4.8,5.2,5.5,5.8,6.3,6.9,7.1
"AE",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.8,1.0,1.2,1.4,1.4,1.7,1.6,2.0,1.8,1.9,2.1,2.4,2.6,2.8,2.9,3.0,3.0,3.1,3.5,3.7,3.9,4.0,4.0
"BP_06",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.2,1.1,1.3,1.3,1.4,1.6,1.7,1.9,2.0,2.1,2.1,2.2,2.3,2.3,2.6,3.0,3.5
"BP_07",1.0,1.1,1.2,1.3,1.4,1.6,1.7,1.7,2.0,2.3,2.5,2.6,2.7,2.9,3.9,3.4,3.5,3.8,4.1,5.4,5.9,7.0,7.4,8.4,9.2,9.2,9.5,10.7,11.5,12.6,13.7,14.5,16.0,16.8,17.4,17.9,19.2,20.8,21.9,24.4,26.8,28.0
"DZ",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.6,0.8,1.1,1.4,1.6,1.8,1.6,1.5,1.7,1.7,1.9,1.8,2.0,1.9,2.0,1.8,1.9,2.0,2.1,2.0,2.0,2.1,1.9,2.0,2.0,2.1,2.1,2.2,2.3
"EG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.1,1.1,1.2,1.4,1.8,2.1,2.2,2.4,2.5,2.5,2.8
"ZA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_08",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.5,0.5,0.6,0.7,0.8,0.9,0.9,0.9,1.1,1.1,1.0,1.1,1.1,1.1,1.2,1.4,1.4,1.4,1.5,1.6,1.7,1.7,1.9,2.1,2.2,2.3
"BP_09",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.4,0.5,0.5,0.6,0.9,1.3,1.8,2.1,2.4,2.7,2.6,2.7,3.0,3.1,3.4,3.6,3.7,3.7,3.9,3.9,4.0,4.3,4.6,4.5,4.6,4.9,5.3,5.7,5.8,6.3,6.7,6.9,7.3
"AU",0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.4,0.5,0.5,0.6,0.7,0.7,0.8,1.0,1.1,1.1,1.2,1.2,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.8,1.9,2.0,2.0,2.1,2.2,2.2,2.3,2.4,2.5,2.6,2.6,2.7,2.8
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.2,1.3,1.4,1.5
"CN",0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.5,0.7,0.8,0.9,1.1,1.2,1.3,1.3,1.3,1.2,1.1,1.2,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.5,1.5,1.6,1.7,1.7,1.7,1.8,1.9,2.0,2.3,2.6,2.8,3.2,3.8,4.4,5.4
"BP_21",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.2
"IN",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.6,0.6,0.7,1.0,1.2,1.3,1.5,1.5,1.6,1.9,2.0,2.2,2.4,2.5,2.6,2.6,2.8,2.9,3.3,3.7,3.8
"ID",0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.5,0.6,0.7,0.7,0.7,0.7,0.9,1.3,1.3,1.5,1.4,1.3,1.8,1.9,2.1,2.2,2.3,2.6,2.9,3.1,3.1,2.7,3.1,3.1,3.2,3.3,3.2,3.4,3.6,3.8
"JP",0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.6,0.8,0.9,1.0,1.2,1.7,2.1,2.4,2.4,2.5,2.7,3.6,3.8,3.9,4.0,4.2,4.4,4.8,5.1,5.3,5.3,5.7,5.9,6.2,6.4,6.6,6.9,7.2,7.4,7.3,8.0,7.5,7.6,8.2
"MY",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.6,0.8,0.7,0.8,0.9,1.0,1.1,1.1,1.3,1.3,1.3,1.7,1.6,1.7,1.6,2.3,2.5,2.6,3.1,3.3,3.8,3.9
"NZ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.6,0.5,0.4,0.4,0.3,0.4
"PK",0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.1,1.2,1.3,1.4,1.5,1.5,1.5,1.7,1.8,1.9,2.0,2.2,2.6,2.8,3.0
"PH",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.3,0.3
"SG",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.5,0.6,0.6,0.6
