title         = ASCII CSV version of CO2 emissions data from the 2010 British Petroleum Statistical Review (worksheet 41)
file URL      = http://mazamascience.com/OilExport/BP_2010_co2_emissions_mtco2.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2010_downloads/Statistical_Review_of_World_Energy_2010.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = thousand barrels per day

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
"BP_OAF",49.2,54.2,57.9,61.4,66.0,70.6,75.2,81.9,88.3,89.9,90.6,104.1,109.6,114.8,127.0,136.7,141.8,148.6,146.9,144.7,156.1,159.7,166.3,173.4,181.8,189.6,186.8,198.6,206.3,213.0,218.6,225.7,231.4,235.0,244.2,246.2,254.3,256.5,260.6,276.2,284.0,278.3,292.8,307.1,295.1
"BP_TAF",192.9,200.6,204.5,215.7,219.5,234.5,250.9,264.7,282.4,293.4,310.2,339.1,354.1,363.8,396.2,434.4,491.9,537.3,555.3,579.1,600.2,612.7,631.6,672.0,667.8,689.7,683.3,686.3,702.1,728.0,761.7,792.3,810.9,819.7,832.6,839.2,851.9,872.9,914.7,962.4,971.4,984.7,1033.0,1081.9,1066.3
"AU",96.0,100.7,107.1,115.0,122.0,128.2,134.2,139.0,150.8,157.6,159.3,167.0,176.2,178.4,185.5,188.0,221.4,218.1,215.6,225.5,228.4,239.7,248.0,260.4,273.0,277.1,277.0,280.3,288.3,299.7,309.4,318.3,329.2,336.8,341.6,344.1,354.5,366.1,362.1,375.8,380.7,398.0,397.2,387.9,386.6
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,4.5,4.9,5.4,5.9,6.0,6.5,7.2,8.1,8.9,9.0,8.9,10.4,11.5,12.5,13.7,14.9,16.7,17.0,16.7,18.1,19.5,20.8,25.6,25.6,27.5,28.1,27.8,32.3,36.0,37.5,39.7,41.7,46.0,47.6,49.7,53.1,57.0
"CN",692.0,761.2,544.7,708.2,768.8,870.8,969.4,1004.7,1081.1,1155.1,1221.9,1303.0,1372.8,1482.5,1607.2,1500.6,1480.0,1550.0,1621.8,1779.8,1929.8,2055.1,2189.8,2344.0,2440.8,2477.3,2607.5,2711.3,2901.2,3058.4,3280.0,3461.2,3416.1,3229.5,3287.8,3381.7,3455.7,3648.1,4284.3,4956.0,5463.5,5997.7,6468.0,6907.9,7518.5
"HK",7.0,7.5,8.9,9.6,11.2,12.0,12.7,14.4,14.9,15.3,14.4,17.0,18.4,19.1,19.5,19.9,21.3,24.1,26.6,27.7,29.3,31.0,34.6,39.8,42.6,41.0,42.7,49.6,54.6,48.0,51.6,49.6,49.2,51.0,51.1,50.9,62.1,66.9,69.8,78.9,74.6,79.7,83.6,77.6,78.5
"IN",180.1,184.3,188.2,198.6,218.0,210.0,215.1,228.7,230.3,249.3,264.7,276.9,291.9,292.7,313.1,324.2,359.3,364.1,383.0,405.4,429.8,462.0,499.8,539.1,588.4,581.4,612.2,650.8,670.1,700.4,765.5,824.4,850.8,874.6,898.5,952.8,959.2,1001.2,1030.5,1118.4,1172.9,1222.4,1325.5,1442.5,1539.1
"ID",20.3,19.8,19.2,20.1,22.5,23.8,24.6,26.3,29.7,31.7,38.6,41.3,54.2,60.4,68.5,74.0,80.6,82.2,85.8,96.1,103.9,120.4,121.2,126.7,139.5,153.7,163.1,173.6,181.6,200.5,220.5,227.2,246.8,238.8,263.4,282.6,302.7,315.8,322.4,337.3,362.1,348.3,363.8,379.9,388.5
"JP",446.1,491.0,582.6,655.7,753.6,856.8,895.2,926.8,1049.1,1036.5,982.1,1007.1,1032.8,1026.4,1056.3,1008.4,990.0,935.5,941.5,1021.2,1006.2,997.6,1001.5,1080.9,1107.3,1162.7,1194.1,1210.9,1199.2,1265.9,1285.0,1305.2,1304.6,1268.3,1298.7,1328.4,1324.8,1323.3,1376.8,1381.2,1395.6,1377.6,1390.9,1388.6,1222.1
"MY",6.2,7.3,7.5,7.6,7.8,8.8,9.9,11.5,13.1,13.5,15.0,16.4,18.8,20.6,24.6,27.2,28.9,31.3,36.1,39.2,43.6,46.8,46.6,49.2,58.2,66.1,72.2,73.0,79.8,86.6,89.1,101.4,103.0,100.8,102.8,120.1,125.7,137.2,140.7,141.4,154.2,163.3,165.5,157.9,148.0
