title         = ASCII CSV version of Hydro consumption data from the 2008 British Petroleum Statistical Review (worksheet 35)
file URL      = http://mazamascience.com/OilExport/BP_2008_hydro_consumption_twh.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/downloads/spreadsheets/statistical_review_full_report_workbook_2008.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = Terawatt-hours per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
"SA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OME",0.4,0.5,0.6,0.7,0.8,1.0,1.1,1.1,0.8,1.6,2.1,2.6,3.3,3.8,4.4,4.3,4.4,4.2,3.8,3.5,3.2,2.7,3.8,3.8,2.8,2.1,2.3,3.0,2.9,3.7,4.2,5.0,4.8,4.8,3.1,4.3,4.4,4.7,4.6,4.9,4.9,4.6,4.6
"BP_TME",2.1,2.3,2.6,2.8,3.1,3.4,3.8,4.6,3.8,4.9,5.5,6.4,7.2,10.0,9.8,9.9,10.5,10.6,10.0,9.3,8.8,9.8,12.0,11.4,10.3,8.5,9.1,11.8,12.6,11.6,12.5,12.8,10.8,12.3,8.3,8.1,8.5,12.8,14.2,16.9,17.8,22.1,22.7
"DZ",0.4,0.4,0.4,0.6,0.4,0.6,0.3,0.5,0.8,0.5,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.2,0.5,0.6,0.3,0.5,0.2,0.3,0.1,0.3,0.2,0.4,0.2,0.2,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.3,0.3,0.6,0.2,0.4
"EG",1.7,1.8,2.0,3.0,4.0,4.7,5.0,5.2,5.2,6.1,6.8,8.0,9.0,9.9,9.6,9.8,10.2,10.5,9.8,9.6,8.7,9.3,8.7,8.8,9.7,9.9,10.0,10.4,10.7,11.2,11.5,11.8,12.1,13.8,15.0,14.2,14.4,14.0,13.0,12.6,12.6,12.8,12.8
"ZA",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.8,0.2,1.1,1.1,1.9,1.9,1.9,1.2,1.0,2.1,2.6,2.6,2.6,2.8,3.4,3.4,4.6,3.8,2.9,3.8,2.1,1.5,2.6,1.8,3.6,4.7,4.1,3.3,4.0,3.7,4.1,3.5,3.7,3.5,4.0,5.4
"BP_OAF",11.4,12.0,13.6,15.6,18.0,19.7,21.1,24.3,25.2,28.3,29.0,30.5,32.0,32.6,34.8,36.4,37.7,37.9,34.9,34.7,38.6,41.0,39.9,41.3,44.0,46.0,48.5,48.2,45.6,46.3,49.1,49.6,51.4,53.7,60.5,59.4,62.3,67.2,68.4,74.0,76.7,79.0,79.6
"BP_TAF",13.6,14.2,16.0,19.1,22.4,25.0,26.5,30.8,31.3,36.0,37.2,40.7,43.3,44.7,45.9,47.5,50.4,51.4,47.6,47.3,50.7,54.0,52.5,54.9,57.7,58.8,62.5,60.9,58.2,60.2,62.6,65.1,68.3,71.8,79.1,77.6,80.5,85.4,85.2,90.7,93.4,96.0,98.2
"AU",7.7,7.3,7.6,8.0,8.7,10.4,11.8,11.8,12.7,14.3,15.3,14.6,14.1,15.3,14.9,14.3,14.7,13.7,12.9,13.9,15.2,15.0,14.8,15.0,15.0,15.5,15.9,16.4,16.8,16.4,16.1,16.6,16.6,16.2,16.1,16.1,16.1,16.0,16.3,16.1,15.6,16.9,16.8
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.2,0.4,0.5,0.4,0.5,0.6,0.6,0.6,0.5,0.7,0.9,0.7,0.5,0.5,0.7,0.9,0.9,0.8,0.8,0.6,0.8,0.4,0.7,0.7,0.9,0.8,0.9,1.0,1.1,1.1,1.2,1.3,1.3,1.4
"CN",22.1,22.5,19.4,22.9,23.3,24.0,29.1,33.0,36.8,41.7,43.6,44.2,46.1,43.2,48.6,58.2,65.5,74.4,86.4,86.8,92.4,94.5,100.0,109.2,118.4,126.7,124.7,130.7,151.8,167.4,190.6,188.0,196.0,208.0,203.8,222.5,277.5,288.0,283.7,353.5,397.0,435.8,482.9
"HK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IN",19.2,20.0,22.4,25.8,28.7,30.4,33.4,32.4,34.5,33.2,39.7,41.5,45.3,56.2,54.2,55.4,59.1,49.9,48.0,53.7,51.8,52.6,49.0,54.6,63.4,66.4,73.9,70.1,70.7,80.2,75.9,69.1,70.2,83.6,82.2,77.0,72.0,68.5,69.3,83.8,97.4,112.4,122.4
"ID",1.8,2.4,2.7,3.3,3.4,4.2,1.4,1.2,1.6,1.7,1.8,1.1,1.8,1.3,1.4,1.3,1.3,1.4,2.1,2.3,2.8,4.5,4.6,5.0,6.3,5.7,5.7,8.6,7.8,6.9,7.5,8.1,5.2,9.7,9.4,10.0,11.7,9.9,9.1,9.7,10.8,10.5,8.6
"JP",70.4,80.3,70.2,70.5,78.1,78.1,82.1,86.7,74.9,81.1,83.2,88.3,75.5,72.9,83.4,90.2,89.8,81.1,90.6,72.2,87.5,80.9,82.1,87.9,97.1,93.9,103.4,88.4,105.0,76.8,87.8,87.0,93.8,104.2,92.7,91.3,91.9,93.1,103.0,102.1,86.2,96.5,83.6
"MY",0.6,0.7,0.7,0.8,1.0,1.3,1.3,1.2,1.3,1.3,1.3,1.2,1.0,1.1,1.3,1.7,1.8,1.8,2.1,4.1,3.8,4.1,4.9,5.6,5.3,4.0,4.4,4.4,4.9,6.5,6.2,5.2,3.9,4.9,7.5,7.4,6.4,5.3,5.7,5.8,5.8,6.1,6.3
