title         = ASCII CSV version of Hydro consumption data from the 2009 British Petroleum Statistical Review (worksheet 36)
file URL      = http://mazamascience.com/OilExport/BP_2009_hydro_consumption_mtoe.csv
original data = http://www.bp.com/liveassets/bp_internet/globalbp/globalbp_uk_english/reports_and_publications/statistical_energy_review_2008/STAGING/local_assets/2009_downloads/statistical_review_of_world_energy_full_report_2009.xls
country codes = ISO3166-1 two-letter codes or 'BP_~~~' for special groups (e.g. BP_TNA = Total North America)
units         = million tonnes oil equivalent per year

"YEAR",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"KW",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"QA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BP_OME",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.5,0.7,0.8,1.0,1.0,1.0,0.9,1.0,1.1,1.0,0.9,1.1,1.1,0.8,0.8,0.8,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.0,1.3,1.1,1.2,1.2,1.2
"BP_TME",0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.9,0.8,1.0,1.2,1.4,1.6,2.2,2.2,2.2,2.4,2.4,2.4,2.4,2.3,2.5,2.9,2.8,2.5,2.2,2.3,2.9,3.1,2.6,2.8,2.7,2.2,2.6,2.0,1.8,1.9,2.9,3.2,4.0,4.1,5.4,5.2,2.8
"DZ",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1
"EG",0.4,0.4,0.4,0.7,0.9,1.1,1.1,1.2,1.2,1.4,1.5,1.8,2.0,2.2,2.2,2.2,2.3,2.4,2.2,2.2,2.0,2.1,2.0,2.0,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.7,2.7,3.1,3.4,3.2,3.3,3.2,2.9,2.9,2.9,2.9,3.5,3.9
"ZA",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.4,0.2,0.1,0.1,0.1,0.4,0.4,0.7,0.6,0.2,0.4,0.2,0.0,0.2,0.1,0.3,0.5,0.4,0.2,0.3,0.5,0.5,0.2,0.2,0.2,0.3,0.6,0.2
"BP_OAF",2.5,2.7,3.0,3.5,4.1,4.5,4.8,5.5,5.7,6.4,6.6,6.9,7.2,7.4,7.9,8.2,8.5,8.6,7.9,7.8,8.7,9.3,9.0,9.3,10.0,10.4,11.0,10.9,10.3,10.5,11.1,11.2,11.6,12.2,13.7,13.4,14.1,15.2,15.5,16.7,17.2,17.7,18.0,18.1
"BP_TAF",3.0,3.2,3.5,4.3,5.1,5.6,6.0,7.0,7.1,8.1,8.4,9.2,9.8,10.1,10.4,10.7,11.3,11.3,10.3,10.3,11.0,11.8,11.5,12.1,12.8,12.9,13.7,13.5,12.9,13.3,13.9,14.2,14.9,15.7,17.3,17.0,17.8,18.9,18.7,19.8,20.4,20.9,22.1,22.2
"AU",1.7,1.7,1.7,1.8,2.0,2.3,2.6,2.6,2.8,3.1,3.4,3.2,3.1,3.3,3.2,3.0,3.1,2.9,2.7,3.0,3.2,3.2,3.1,3.2,3.2,3.3,3.5,3.6,3.7,3.7,3.6,3.7,3.7,3.6,3.6,3.6,3.6,3.6,3.7,3.6,3.6,3.6,3.3,3.4
"BD",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3
"CN",5.0,5.1,4.4,5.2,5.3,5.4,6.6,7.5,8.3,9.4,9.9,10.0,10.4,9.8,11.0,13.2,14.8,16.8,19.6,19.6,20.9,21.4,22.6,24.7,26.8,28.7,28.2,29.6,34.4,37.9,43.1,42.5,44.4,47.1,46.1,50.3,62.8,65.2,64.2,80.0,89.8,98.6,109.8,132.4
"HK",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"IN",4.3,4.5,5.1,5.8,6.5,6.9,7.6,7.3,7.8,7.5,9.0,9.4,10.2,12.7,12.3,12.5,13.4,11.3,10.9,12.1,11.7,11.9,11.1,12.4,14.3,15.0,16.7,15.9,16.0,18.1,17.2,15.6,15.9,18.9,18.6,17.4,16.3,15.5,15.7,19.0,22.0,25.4,27.7,26.2
"ID",0.4,0.5,0.6,0.7,0.8,0.9,0.3,0.3,0.4,0.4,0.4,0.2,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.6,1.0,1.0,1.1,1.4,1.3,1.3,1.9,1.8,1.6,1.7,1.8,1.2,2.2,2.1,2.3,2.6,2.2,2.1,2.2,2.4,2.2,2.6,2.7
